日付,時刻,コード,会社名,表題（リンク_TDnet）,表題（リンク_ローカル）,キーワード,ヒットページ数,記述されているページ,分類,URL（生）
20260212,16:00,9272,G-ブティックス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260204547084.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/9272_1600_G-ブティックス_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",大幅 想定以上,10,4 14 16 17 18 21 22 23 27 39,説明資料,https://www.release.tdnet.info/inbs/140120260204547084.pdf
20260212,15:30,141A,G-トライアル,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557335.pdf"", ""2026年6月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/141A_1530_G-トライアル_2026年6月期 第2四半期決算説明資料.pdf"", ""2026年6月期 第2四半期決算説明資料"")",大幅 計画を上,9,4 7 8 9 12 20 22 27 28,説明資料,https://www.release.tdnet.info/inbs/140120260212557335.pdf
20260212,16:00,146A,コロンビア・ワークス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557213.pdf"", ""2025年12月期 通期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/146A_1600_コロンビア・ワークス_2025年12月期 通期決算説明資料.pdf"", ""2025年12月期 通期決算説明資料"")",上方修正 大幅 未達 計画を上 計画以 悪化,9,2 3 6 8 12 13 18 19 29,説明資料,https://www.release.tdnet.info/inbs/140120260212557213.pdf
20260212,15:30,147A,G-ソラコム,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555950.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/147A_1530_G-ソラコム_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",上方修正 大幅,9,2 5 6 7 8 9 10 26 38,説明資料,https://www.release.tdnet.info/inbs/140120260212555950.pdf
20260212,15:00,2982,ADワークスグループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557129.pdf"", ""企業価値向上に向けた成長戦略"")","=HYPERLINK(""pdf_tmp/20260212/2982_1500_ADワークスグループ_企業価値向上に向けた成長戦略.pdf"", ""企業価値向上に向けた成長戦略"")",計画を上 需要の回復 シェア拡大 大幅,9,3 6 7 8 10 11 12 20 24,その他,https://www.release.tdnet.info/inbs/140120260212557129.pdf
20260212,15:30,3465,ケイアイスター不動産,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260211555142.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3465_1530_ケイアイスター不動産_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",上方修正 シェア拡大 悪化,9,7 8 9 10 22 24 50 51 52,説明資料,https://www.release.tdnet.info/inbs/140120260211555142.pdf
20260212,16:00,3769,GMOPG,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553180.pdf"", ""2026年9月期 第1四半期決算説明会"")","=HYPERLINK(""pdf_tmp/20260212/3769_1600_GMOPG_2026年9月期 第1四半期決算説明会.pdf"", ""2026年9月期 第1四半期決算説明会"")",シェア拡大 値上 計画以,9,12 13 16 17 18 19 45 47 55,その他,https://www.release.tdnet.info/inbs/140120260210553180.pdf
20260212,15:30,4054,G-日本情報C,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557125.pdf"", ""2026年6月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4054_1530_G-日本情報C_2026年6月期 第2四半期決算説明資料.pdf"", ""2026年6月期 第2四半期決算説明資料"")",シェア拡大,9,16 19 24 27 28 29 31 32 33,説明資料,https://www.release.tdnet.info/inbs/140120260212557125.pdf
20260212,16:00,4416,G-TrueData,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553299.pdf"", ""2026年3月期 第3四半期決算および新中期経営計画説明資料(事業計画及び成長可能性に関する事項)"")","=HYPERLINK(""pdf_tmp/20260212/4416_1600_G-TrueData_2026年3月期 第3四半期決算および新中期経営計画説明資料(事業計画及び成長可能性に関する事項).pdf"", ""2026年3月期 第3四半期決算および新中期経営計画説明資料(事業計画及び成長可能性に関する事項)"")",下方修正 計画を下 値上 想定以上 トップシェア 大幅,9,3 7 11 12 27 30 39 50 69,事業計画,https://www.release.tdnet.info/inbs/140120260210553299.pdf
20260212,15:30,4912,ライオン,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556338.pdf"", ""2025年12月期_決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4912_1530_ライオン_2025年12月期_決算説明資料.pdf"", ""2025年12月期_決算説明資料"")",計画を上 値上 大幅,8,3 6 11 14 21 25 28 33,説明資料,https://www.release.tdnet.info/inbs/140120260212556338.pdf
20260212,13:00,5563,新日本電工,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556186.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/5563_1300_新日本電工_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",大幅 悪化 価格改定 計画を上,8,7 9 10 11 12 13 18 20,説明資料,https://www.release.tdnet.info/inbs/140120260212556186.pdf
20260212,15:30,5711,三菱マ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555890.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/5711_1530_三菱マ_2026年3月期 第3四半期決算補足説明資料.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")",悪化 上方修正 値上,8,4 5 6 7 8 12 16 17,説明資料,https://www.release.tdnet.info/inbs/140120260212555890.pdf
20260212,14:00,7245,大同メタル,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260209552363.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/7245_1400_大同メタル_2026年3月期 第3四半期 決算補足説明資料.pdf"", ""2026年3月期 第3四半期 決算補足説明資料"")",価格転嫁 値上 需要回復 シェア拡大 悪化,8,3 9 10 11 12 13 15 17,説明資料,https://www.release.tdnet.info/inbs/140120260209552363.pdf
20260212,15:30,9337,G-トリドリ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556536.pdf"", ""2025年12月期 通期 決算説明資料(事業計画及び成長可能性に関する資料)"")","=HYPERLINK(""pdf_tmp/20260212/9337_1530_G-トリドリ_2025年12月期 通期 決算説明資料(事業計画及び成長可能性に関する資料).pdf"", ""2025年12月期 通期 決算説明資料(事業計画及び成長可能性に関する資料)"")",大幅 悪化,8,4 6 21 25 26 33 34 59,事業計画,https://www.release.tdnet.info/inbs/140120260212556536.pdf
20260212,15:30,3182,オイシックスラ大地,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556846.pdf"", ""2026年3月期 第3四半期決算FAQ"")","=HYPERLINK(""pdf_tmp/20260212/3182_1530_オイシックスラ大地_2026年3月期 第3四半期決算FAQ.pdf"", ""2026年3月期 第3四半期決算FAQ"")",未達 悪化 計画を上 値上,7,5 11 18 28 29 30 32,その他,https://www.release.tdnet.info/inbs/140120260212556846.pdf
20260212,15:00,4633,サカタインクス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556392.pdf"", ""2025年12月期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260212/4633_1500_サカタインクス_2025年12月期 決算説明会資料.pdf"", ""2025年12月期 決算説明会資料"")",価格改定 需要回復 需要が増 シェア拡大 大幅,7,22 23 24 25 30 40 58,その他,https://www.release.tdnet.info/inbs/140120260212556392.pdf
20260212,15:30,4912,ライオン,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554222.pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")","=HYPERLINK(""pdf_tmp/20260212/4912_1530_ライオン_2025年12月期 決算短信〔IFRS〕(連結).pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")",大幅 悪化,7,5 6 7 8 9 14 33,決算短信,https://www.release.tdnet.info/inbs/140120260210554222.pdf
20260212,16:00,5161,西川ゴム,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555600.pdf"", ""2026年3月期第3四半期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/5161_1600_西川ゴム_2026年3月期第3四半期 決算補足説明資料.pdf"", ""2026年3月期第3四半期 決算補足説明資料"")",想定以上 上方修正 シェア拡大 大幅 トップシェア グローバルニッチトップ,7,4 7 15 16 23 30 31,説明資料,https://www.release.tdnet.info/inbs/140120260212555600.pdf
20260212,16:30,6078,バリューHR,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557743.pdf"", ""2025年12月期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/6078_1630_バリューHR_2025年12月期決算説明資料.pdf"", ""2025年12月期決算説明資料"")",大幅 価格改定 需要が増 シェア拡大,7,13 20 23 25 26 28 55,説明資料,https://www.release.tdnet.info/inbs/140120260212557743.pdf
20260212,15:30,195A,G-MUSCAT G,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556808.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/195A_1530_G-MUSCAT G_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 悪化,6,13 14 16 18 19 20,説明資料,https://www.release.tdnet.info/inbs/140120260212556808.pdf
20260212,12:00,2170,LINK&M,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555538.pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")","=HYPERLINK(""pdf_tmp/20260212/2170_1200_LINK&M_2025年12月期 決算短信〔IFRS〕(連結).pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")",大幅 シェア拡大,6,4 5 6 7 8 10,決算短信,https://www.release.tdnet.info/inbs/140120260212555538.pdf
20260212,14:00,2264,森永乳,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260211555210.pdf"", ""2026年3月期第3四半期決算説明会"")","=HYPERLINK(""pdf_tmp/20260212/2264_1400_森永乳_2026年3月期第3四半期決算説明会.pdf"", ""2026年3月期第3四半期決算説明会"")",価格改定 計画を上 大幅 悪化 増産,6,2 4 5 8 11 15,その他,https://www.release.tdnet.info/inbs/140120260211555210.pdf
20260212,15:30,2269,明治HD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554777.pdf"", ""2026年3月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260212/2269_1530_明治HD_2026年3月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年3月期 第3四半期決算短信〔日本基準〕(連結)"")",価格改定 大幅,6,4 5 6 7 8 26,決算短信,https://www.release.tdnet.info/inbs/140120260210554777.pdf
20260212,15:30,3182,オイシックスラ大地,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556810.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3182_1530_オイシックスラ大地_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",悪化 未達 大幅,6,3 8 11 15 23 40,説明資料,https://www.release.tdnet.info/inbs/140120260212556810.pdf
20260212,15:30,3698,CRI・MW,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556171.pdf"", ""2026年9月期第1四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3698_1530_CRI・MW_2026年9月期第1四半期決算補足説明資料.pdf"", ""2026年9月期第1四半期決算補足説明資料"")",大幅 シェア拡大,6,8 19 31 33 37 45,説明資料,https://www.release.tdnet.info/inbs/140120260212556171.pdf
20260212,15:30,4398,BBSec,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555989.pdf"", ""2026年6月期 第2四半期(中間期)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4398_1530_BBSec_2026年6月期 第2四半期(中間期)決算説明資料.pdf"", ""2026年6月期 第2四半期(中間期)決算説明資料"")",大幅 トップシェア,6,3 4 11 13 26 28,説明資料,https://www.release.tdnet.info/inbs/140120260212555989.pdf
20260212,15:30,4418,G-JDSC,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557434.pdf"", ""2026年6月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4418_1530_G-JDSC_2026年6月期 第2四半期決算説明資料.pdf"", ""2026年6月期 第2四半期決算説明資料"")",上方修正 悪化 大幅 想定以上,6,3 39 40 59 67 69,説明資料,https://www.release.tdnet.info/inbs/140120260212557434.pdf
20260212,15:00,6699,ダイヤHD,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553759.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/6699_1500_ダイヤHD_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",増産 悪化 レアアース,6,2 3 4 5 7 8,説明資料,https://www.release.tdnet.info/inbs/140120260210553759.pdf
20260212,16:55,7201,日産自,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260211555216.pdf"", ""日産自動車、2025年度第3四半期決算を発表"")","=HYPERLINK(""pdf_tmp/20260212/7201_1655_日産自_日産自動車、2025年度第3四半期決算を発表.pdf"", ""日産自動車、2025年度第3四半期決算を発表"")",上方修正 価格改定,6,1 10 14 24 25 37,その他,https://www.release.tdnet.info/inbs/140120260211555216.pdf
20260212,14:00,8061,西華産,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555869.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/8061_1400_西華産_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",上方修正 トップシェア 大幅,6,5 8 13 16 38 57,説明資料,https://www.release.tdnet.info/inbs/140120260212555869.pdf
20260212,15:30,141A,G-トライアル,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555568.pdf"", ""中期経営計画(2027年6月期~2029年6月期)"")","=HYPERLINK(""pdf_tmp/20260212/141A_1530_G-トライアル_中期経営計画(2027年6月期~2029年6月期).pdf"", ""中期経営計画(2027年6月期~2029年6月期)"")",大幅,5,13 18 28 29 30,その他,https://www.release.tdnet.info/inbs/140120260212555568.pdf
20260212,13:00,1952,新日空調,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555817.pdf"", ""2026年3月期 第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/1952_1300_新日空調_2026年3月期 第3四半期決算説明資料.pdf"", ""2026年3月期 第3四半期決算説明資料"")",大幅 上方修正 計画を上 計画を下,5,2 4 6 13 14,説明資料,https://www.release.tdnet.info/inbs/140120260212555817.pdf
20260212,18:10,2146,UTグループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557351.pdf"", ""2026年3月期 第3四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/2146_1810_UTグループ_2026年3月期 第3四半期 決算説明資料.pdf"", ""2026年3月期 第3四半期 決算説明資料"")",大幅 悪化 下方修正 未達,5,4 9 23 26 37,説明資料,https://www.release.tdnet.info/inbs/140120260212557351.pdf
20260212,16:00,2585,ライフドリンクC,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557692.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/2585_1600_ライフドリンクC_2026年3月期 第3四半期決算補足説明資料.pdf"", ""2026年3月期 第3四半期決算補足説明資料"")",増産 価格改定 下方修正 悪化 値上,5,3 7 11 14 27,説明資料,https://www.release.tdnet.info/inbs/140120260212557692.pdf
20260212,15:30,2914,JT,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555893.pdf"", ""2025年度 決算説明会資料(Allプレゼンテーション)"")","=HYPERLINK(""pdf_tmp/20260212/2914_1530_JT_2025年度 決算説明会資料(Allプレゼンテーション).pdf"", ""2025年度 決算説明会資料(Allプレゼンテーション)"")",シェア拡大 大幅 価格改定,5,14 20 23 25 28,その他,https://www.release.tdnet.info/inbs/140120260212555893.pdf
20260212,15:30,3252,地主,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555961.pdf"", ""2025年12月期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3252_1530_地主_2025年12月期決算説明資料.pdf"", ""2025年12月期決算説明資料"")",上方修正 大幅 悪化 需要が増,5,8 25 28 40 68,説明資料,https://www.release.tdnet.info/inbs/140120260212555961.pdf
20260212,15:30,3901,マークラインズ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554162.pdf"", ""2025年12月期 決算補足説明資料"")","=HYPERLINK(""pdf_tmp/20260212/3901_1530_マークラインズ_2025年12月期 決算補足説明資料.pdf"", ""2025年12月期 決算補足説明資料"")",価格改定 悪化,5,10 18 34 43 47,説明資料,https://www.release.tdnet.info/inbs/140120260210554162.pdf
20260212,16:00,4068,G-ベイシス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557531.pdf"", ""2026年6月期第2四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4068_1600_G-ベイシス_2026年6月期第2四半期 決算説明資料.pdf"", ""2026年6月期第2四半期 決算説明資料"")",大幅 シェア拡大,5,9 22 24 26 28,説明資料,https://www.release.tdnet.info/inbs/140120260212557531.pdf
20260212,11:30,4374,G-ロボペイ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212555327.pdf"", ""2025年12月期通期決算説明資料(事業計画及び成長可能性に関する事項)"")","=HYPERLINK(""pdf_tmp/20260212/4374_1130_G-ロボペイ_2025年12月期通期決算説明資料(事業計画及び成長可能性に関する事項).pdf"", ""2025年12月期通期決算説明資料(事業計画及び成長可能性に関する事項)"")",大幅 悪化,5,4 29 30 110 113,事業計画,https://www.release.tdnet.info/inbs/140120260212555327.pdf
20260212,15:30,4478,G-フリー,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212557270.pdf"", ""2026年6月期第2四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/4478_1530_G-フリー_2026年6月期第2四半期 決算説明資料.pdf"", ""2026年6月期第2四半期 決算説明資料"")",上方修正 大幅,5,2 13 22 32 65,説明資料,https://www.release.tdnet.info/inbs/140120260212557270.pdf
20260212,15:30,4755,楽天グループ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553912.pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")","=HYPERLINK(""pdf_tmp/20260212/4755_1530_楽天グループ_2025年12月期 決算短信〔IFRS〕(連結).pdf"", ""2025年12月期 決算短信〔IFRS〕(連結)"")",想定以上 大幅 下方修正 悪化,5,5 8 27 30 31,決算短信,https://www.release.tdnet.info/inbs/140120260210553912.pdf
20260212,14:00,5741,UACJ,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556720.pdf"", ""2025年度第3四半期 決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260212/5741_1400_UACJ_2025年度第3四半期 決算説明会資料.pdf"", ""2025年度第3四半期 決算説明会資料"")",価格改定 上方修正 需要回復,5,2 11 15 20 29,その他,https://www.release.tdnet.info/inbs/140120260212556720.pdf
20260212,12:00,8914,エリアリンク,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553776.pdf"", ""2025年12月期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260212/8914_1200_エリアリンク_2025年12月期決算説明会資料.pdf"", ""2025年12月期決算説明会資料"")",大幅 未達 計画を上 値上 シェア拡大,5,4 12 13 34 35,その他,https://www.release.tdnet.info/inbs/140120260210553776.pdf
20260212,14:00,9024,西武ホールディングス,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554677.pdf"", ""2026年3月期 第3四半期 決算実績概況資料"")","=HYPERLINK(""pdf_tmp/20260212/9024_1400_西武ホールディングス_2026年3月期 第3四半期 決算実績概況資料.pdf"", ""2026年3月期 第3四半期 決算実績概況資料"")",上方修正 大幅 需要の回復 計画以,5,2 4 11 13 14,その他,https://www.release.tdnet.info/inbs/140120260210554677.pdf
20260212,15:30,9173,東海船,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210554874.pdf"", ""2025年12月期 決算短信[日本基準](連結)"")","=HYPERLINK(""pdf_tmp/20260212/9173_1530_東海船_2025年12月期 決算短信[日本基準](連結).pdf"", ""2025年12月期 決算短信[日本基準](連結)"")",大幅 需要の回復 悪化,5,4 7 9 20 37,決算短信,https://www.release.tdnet.info/inbs/140120260210554874.pdf
20260212,15:30,1431,G-リブワーク,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556675.pdf"", ""2026年6月期第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/1431_1530_G-リブワーク_2026年6月期第2四半期決算説明資料.pdf"", ""2026年6月期第2四半期決算説明資料"")",大幅,4,9 22 29 30,説明資料,https://www.release.tdnet.info/inbs/140120260212556675.pdf
20260212,15:30,148A,G-ハッチ・ワーク,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556953.pdf"", ""2025年12月期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/148A_1530_G-ハッチ・ワーク_2025年12月期 決算説明資料.pdf"", ""2025年12月期 決算説明資料"")",大幅 上方修正 値上,4,5 8 11 34,説明資料,https://www.release.tdnet.info/inbs/140120260212556953.pdf
20260212,15:30,150A,G-JSH,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260210553839.pdf"", ""2026年3月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260212/150A_1530_G-JSH_2026年3月期第3四半期決算説明資料.pdf"", ""2026年3月期第3四半期決算説明資料"")",値上 悪化,4,30 52 57 58,説明資料,https://www.release.tdnet.info/inbs/140120260210553839.pdf
20260212,15:30,1605,INPEX,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260212556471.pdf"", ""2025年12月期 決算説明会"")","=HYPERLINK(""pdf_tmp/20260212/1605_1530_INPEX_2025年12月期 決算説明会.pdf"", ""2025年12月期 決算説明会"")",大幅 増産,4,3 6 21 25,その他,https://www.release.tdnet.info/inbs/140120260212556471.pdf
