日付,コード,会社名,分類,表題（リンク_TDnet）,表題（リンク_ローカル）,価格交渉,増産,価格改定,価格転嫁,値上,想定以上,上方修正,下方修正,想定以下,未達,大幅,計画を上,計画を下,計画以,需要回復,需要の回復,需要が増,需要が低,悪化,グローバルニッチトップ,トップシェア,シェア拡大,レアアース,URL（生）
20260715,7360,G-オンデック,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593639.pdf"", ""2026年11月期 第2四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/7360_1530_G-オンデック_2026年11月期 第2四半期決算説明資料.pdf"", ""2026年11月期 第2四半期決算説明資料"")",,,,,11,,,,,,8 13 34,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260714593639.pdf
20260715,7610,テイツー,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594355.pdf"", ""2027年2月期第1四半期決算説明会資料"")","=HYPERLINK(""pdf_tmp/20260715/7610_1600_テイツー_2027年2月期第1四半期決算説明会資料.pdf"", ""2027年2月期第1四半期決算説明会資料"")",,,9 10,,,,,,,,11,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594355.pdf
20260715,7818,トランザクション,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593915.pdf"", ""2026年8月期 第3四半期決算短信補足説明資料"")","=HYPERLINK(""pdf_tmp/20260715/7818_1530_トランザクション_2026年8月期 第3四半期決算短信補足説明資料.pdf"", ""2026年8月期 第3四半期決算短信補足説明資料"")",9,,,,2 9,,,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593915.pdf
20260715,7818,トランザクション,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593638.pdf"", ""2026年8月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/7818_1530_トランザクション_2026年8月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,7,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260714593638.pdf
20260715,8783,abc,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594348.pdf"", ""2026年8月期 連結業績予想の修正に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/8783_1600_abc_2026年8月期 連結業績予想の修正に関するお知らせ.pdf"", ""2026年8月期 連結業績予想の修正に関するお知らせ"")",,,,,,,,,,2,,,1,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594348.pdf
20260715,8887,シーラHD,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594526.pdf"", ""2026年5月期通期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/8887_1530_シーラHD_2026年5月期通期決算説明資料.pdf"", ""2026年5月期通期決算説明資料"")",,,,,,,5,,,,,,,,,,,,41,,,,,https://www.release.tdnet.info/inbs/140120260715594526.pdf
20260715,8960,R-ユナイテド,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593564.pdf"", ""2026年5月期(第45期)決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/8960_1530_R-ユナイテド_2026年5月期(第45期)決算説明資料.pdf"", ""2026年5月期(第45期)決算説明資料"")",,,,,,,5,,,,9 10 15 22 58,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260714593564.pdf
20260715,9252,G-ラストワンマイル,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260713592541.pdf"", ""2026年8月期第3四半期決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/9252_1600_G-ラストワンマイル_2026年8月期第3四半期決算説明資料.pdf"", ""2026年8月期第3四半期決算説明資料"")",,,,,,,,,,,14 15 20 28,,14 15 20,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260713592541.pdf
20260715,9517,イーレックス,事業計画,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594650.pdf"", ""2027年3月期 新事業計画説明資料"")","=HYPERLINK(""pdf_tmp/20260715/9517_1600_イーレックス_2027年3月期 新事業計画説明資料.pdf"", ""2027年3月期 新事業計画説明資料"")",,,,,,,,,,,3,,,,,,1,,,,,,,https://www.release.tdnet.info/inbs/140120260715594650.pdf
20260715,1407,ウエストHD,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593815.pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/1407_1000_ウエストHD_2026年8月期 第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期 第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,4,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593815.pdf
20260715,1418,インターライフ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593097.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/1418_1600_インターライフ_2027年2月期 第1四半期決算短信〔日本基準〕(連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,,,,4,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260714593097.pdf
20260715,157A,G-Gモンスター,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594603.pdf"", ""第三者割当により発行される第7回新株予約権、第8回新株予約権及び第9回新株予約権の発行並びに行使許可条項付第三者割当契約の締結に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/157A_1600_G-Gモンスター_第三者割当により発行される第7回新株予約権、第8回新株予約権及び第9回新株予約権の発行並びに行使許可条項付第三者割当契約の締結に関するお知らせ.pdf"", ""第三者割当により発行される第7回新株予約権、第8回新株予約権及び第9回新株予約権の発行並びに行使許可条項付第三者割当契約の締結に関するお知らせ"")",,,,,,,,,,,5,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594603.pdf
20260715,1887,日本国土開発,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260714593569.pdf"", ""2026年5月期通期連結業績予想と実績値との差異(上方修正)及び剰余金の配当(増配)、特別利益及び特別損失の計上に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/1887_1525_日本国土開発_2026年5月期通期連結業績予想と実績値との差異(上方修正)及び剰余金の配当(増配)、特別利益及び特別損失の計上に関するお知らせ.pdf"", ""2026年5月期通期連結業績予想と実績値との差異(上方修正)及び剰余金の配当(増配)、特別利益及び特別損失の計上に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260714593569.pdf
20260715,2337,いちご,説明資料,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594535.pdf"", ""2027年2月期 第1四半期 決算説明資料"")","=HYPERLINK(""pdf_tmp/20260715/2337_1530_いちご_2027年2月期 第1四半期 決算説明資料.pdf"", ""2027年2月期 第1四半期 決算説明資料"")",,,,,,,,,,,22 36 63,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594535.pdf
20260715,2337,いちご,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593827.pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/2337_1530_いちご_2027年2月期 第1四半期決算短信〔日本基準〕(連結).pdf"", ""2027年2月期 第1四半期決算短信〔日本基準〕(連結)"")",,,,,,,,,,,6,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593827.pdf
20260715,2437,シンワワイズ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594364.pdf"", ""2026年5月期 決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/2437_1530_シンワワイズ_2026年5月期 決算短信〔日本基準〕(連結).pdf"", ""2026年5月期 決算短信〔日本基準〕(連結)"")",,,,,,,,,,,,,,,,,,,4,,,,,https://www.release.tdnet.info/inbs/140120260715594364.pdf
20260715,2437,シンワワイズ,その他,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260713591975.pdf"", ""棚卸資産評価損(売上原価)の計上、特別損失の計上及び2026年5月期通期連結業績予想と実績値との差異並びに剰余金の配当(無配)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/2437_1530_シンワワイズ_棚卸資産評価損(売上原価)の計上、特別損失の計上及び2026年5月期通期連結業績予想と実績値との差異並びに剰余金の配当(無配)に関するお知らせ.pdf"", ""棚卸資産評価損(売上原価)の計上、特別損失の計上及び2026年5月期通期連結業績予想と実績値との差異並びに剰余金の配当(無配)に関するお知らせ"")",,,,,,,,,,,2,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260713591975.pdf
20260715,244A,G-グロースエクスパ,決算短信,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715594546.pdf"", ""2026年8月期第3四半期決算短信〔日本基準〕(連結)"")","=HYPERLINK(""pdf_tmp/20260715/244A_1600_G-グロースエクスパ_2026年8月期第3四半期決算短信〔日本基準〕(連結).pdf"", ""2026年8月期第3四半期決算短信〔日本基準〕(連結)"")",,,,,,,,5,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715594546.pdf
20260715,267A,P-トワライズ,予想の修正,"=HYPERLINK(""https://www.release.tdnet.info/inbs/140120260715593894.pdf"", ""配当予想の修正(増配)に関するお知らせ"")","=HYPERLINK(""pdf_tmp/20260715/267A_1500_P-トワライズ_配当予想の修正(増配)に関するお知らせ.pdf"", ""配当予想の修正(増配)に関するお知らせ"")",,,,,,,1,,,,,,,,,,,,,,,,,https://www.release.tdnet.info/inbs/140120260715593894.pdf
